Sa [cm/s^2],EDP [cm]
137.511468,3.099298814
386.4961538,4.97408998
165.8955513,3.36372273
175.8073631,3.053679184
333.6275818,4.282583069
114.0876052,1.875249037
87.09373052,1.302921268
267.7464977,3.430493423
265.2356467,3.576121963
229.5821869,3.663351608
277.5335677,4.813658722
365.9685337,5.613461201
347.1436213,6.348980726
167.7939015,3.037969521
321.800875,6.271509558
238.2109144,3.694033393
172.8646971,2.845298463
124.9137001,2.986755785
297.9525838,4.95006823
185.7261461,3.347665181
224.3601408,3.299728978
150.9192068,2.670470747
105.5183215,1.707373731
238.0240797,3.681748559
213.1432408,3.754513525
386.7256075,8.305586961
320.5464861,4.287227084
361.0002098,4.698391555
154.0940009,2.989201855
141.0359983,2.746018088
120.5211943,2.364605742
277.7035577,4.449941432
819.6077954,5.60791095
309.5156835,6.570595784
152.3433986,3.279715287
325.8794142,4.364409718
128.8071422,2.091340502
111.9917871,1.87182972
308.0381624,3.027970926
151.9953885,2.619313232
254.8266211,5.529609205
426.553521,3.952826978
265.2840938,2.670434683
340.5191476,4.989110949
102.7981898,1.48449631
300.0096763,4.251857314
602.7515003,6.266276454
283.4233131,4.909782643
105.9997858,1.922515656
199.4088053,3.510302329
173.3207322,3.423613852
263.0254699,4.618115844
266.654904,4.760138844
265.8320245,3.887702867
184.8370712,1.7037861
165.377906,3.168325507
166.1360914,2.344666915
328.4924966,5.608859764
91.4682993,1.371339477
199.0172968,4.42256377
249.3953052,3.173276274
161.2508636,2.461741466
274.9943985,4.761812018
212.2209032,6.51344311
140.9044938,2.071336081
236.8774172,6.114101363
193.3753912,3.77471358
180.8561235,2.517380647
156.8519893,3.478590223
225.956707,3.944623673
91.76600249,1.713945749
181.8446713,2.842344636
169.7889338,1.783924648
142.672883,2.558428878
298.7598256,5.233438151
155.1608259,3.03435516
283.3555328,4.032135852
348.02913,6.711013011
203.8155047,3.120733582
250.271118,4.703006594
296.9053512,3.371942789
211.2548666,3.375478426
283.3872646,4.728779139
120.8930726,2.84675361
370.8733308,5.395328607
137.5334856,2.836451286
92.51871129,2.689774072
422.1362672,8.087241276
213.0840797,3.087784325
271.3418437,4.52113893
184.8826788,4.796934388
135.5328209,2.681853023
51.40303391,1.279569407
295.0544409,6.519588609
191.6926884,4.159695495
199.9558857,2.877735569
265.8461924,4.197176599
112.2630635,1.676777164
155.5149525,2.662922694
377.3953519,6.819509745
291.1205628,3.214270817
119.828935,3.056122598
77.52017243,1.549894653
167.5818695,2.504664635
242.8406747,3.249118136
342.5708363,2.912760153
229.4286005,3.676668201
129.1738704,1.843580212
253.6463083,2.629061599
126.1572771,2.435292638
139.4039276,2.253748931
161.1774504,2.629090563
122.8023179,2.468852639
193.1214087,3.467240168
143.4804357,2.44666564
191.7831164,3.072355162
176.4219786,2.808731425
180.8635933,2.966134546
173.0283831,2.411095315
393.0369168,3.97849326
292.8364257,3.366325009
225.7035255,4.26478512
109.7670501,2.206802403
101.8315144,2.6311517
86.76528351,2.517218205
751.4179485,7.332406727
347.459766,3.880192371
247.8219671,2.466936109
138.5325533,2.47196182
127.7145013,2.939940101
284.2949069,6.47691396
459.7271988,6.368460871
98.63388331,1.808706448
177.5107384,3.308409541
210.9244064,2.867381939
85.65577787,1.883459555
326.5901419,4.769594377
180.4476803,2.299172827
541.6365104,6.451525322
182.4844072,3.592972958
266.2957375,6.060132649
127.9521938,2.838876356
163.3906815,4.854588705
126.3727164,2.041898107
264.2148911,4.378235116
405.9709674,5.46480502
165.8183363,3.089974758
269.7385297,3.211348682
172.9610875,2.986738253
230.338847,3.483082567
386.2185716,4.997198327
232.3249506,3.461022511
134.4957929,2.390144847
146.4140703,2.723517401
202.5673471,4.804840293
200.4926034,3.097447245
145.8127609,2.705478109
239.0469584,2.539122933
399.2554345,5.912888249
194.9357907,3.416487197
199.2744076,2.878050619
77.58400137,1.883573559
152.2391581,2.596483446
113.6544427,2.107512546
182.8869041,2.387982096
281.3486419,5.477723709
450.7355503,4.853810143
513.3161199,6.956785726
207.7019006,3.613151949
188.682036,3.93220992
322.9497353,5.843712479
276.6794209,3.044371832
315.0740391,6.616004644
317.0190219,5.524561724
109.0765711,1.717548167
283.3195115,3.403253469
210.2035794,3.180824184
153.2681782,2.446989584
158.1709859,3.686145676
402.0810566,7.365283804
